distance,consume,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip,trip_in_hour,avg_speed
56.1,4.8,22.0,13,SP98,0,0,0,9.0,2.6927999999999996,5.151,1.3666666666666667,41.048780487804876
39.0,4.1,22.0,16,SP98,0,0,0,6.0,1.5989999999999998,3.059,1.0166666666666666,38.36065573770492
11.8,4.5,21.5,13,SP98,0,0,0,8.5,0.531,1.016,0.6833333333333333,17.26829268292683
38.5,4.8,21.5,14,SP98,0,0,0,7.5,1.8479999999999999,3.535,1.05,36.666666666666664
28.2,4.6,21.5,14,SP98,0,0,0,7.5,1.2972,2.482,0.9,31.333333333333332
2.9,7.4,21.5,14,SP98,0,0,0,7.5,0.2146,0.411,0.4,7.249999999999999
6.1,5.6,21.5,13,SP98,0,0,0,8.5,0.34159999999999996,0.653,0.4,15.249999999999998
19.6,4.9,21.5,13,SP98,0,0,0,8.5,0.9604000000000003,1.837,0.7166666666666667,27.348837209302328
22.2,3.8,21.5,15,SP98,0,0,0,6.5,0.8436,1.614,0.7,31.714285714285715
13.6,4.5,19.0,18,SP98,0,0,0,1.0,0.612,1.171,0.7333333333333333,18.545454545454547
12.6,4.1,21.5,17,SP98,0,0,0,4.5,0.5166,0.988,0.55,22.909090909090907
8.7,5.3,22.5,12,SP98,1,1,0,10.5,0.4610999999999999,0.882,0.4666666666666667,18.642857142857142
7.9,4.7,22.5,12,SP98,1,0,0,10.5,0.3713,0.71,0.5166666666666667,15.29032258064516
2.4,9.0,20.0,10,SP98,0,0,0,10.0,0.21599999999999997,0.413,0.43333333333333335,5.538461538461538
4.9,6.3,20.0,10,SP98,0,0,0,10.0,0.30870000000000003,0.591,0.43333333333333335,11.307692307692308
18.1,3.6,20.0,19,SP98,0,0,0,1.0,0.6516000000000001,1.247,0.6,30.16666666666667
25.9,3.7,20.0,21,SP98,0,0,0,-1.0,0.9582999999999999,1.833,0.65,39.84615384615384
1.3,11.5,20.0,10,SP98,0,0,0,10.0,0.14950000000000002,0.286,0.35,3.714285714285715
14.1,5.0,20.0,12,SP98,0,0,0,8.0,0.705,1.349,0.36666666666666664,38.45454545454545
13.4,5.5,20.0,9,SP98,0,0,0,11.0,0.737,1.41,0.5166666666666667,25.93548387096774
6.4,4.7,20.0,8,SP98,0,0,0,12.0,0.3008,0.575,0.55,11.636363636363637
12.9,4.5,20.0,13,SP98,0,0,0,7.0,0.5805,1.11,0.7,18.42857142857143
12.1,4.4,22.5,5,SP98,0,0,0,17.5,0.5324,1.018,0.55,21.999999999999996
15.7,4.1,22.5,13,SP98,0,0,0,9.5,0.6436999999999999,1.231,0.5333333333333333,29.4375
16.2,4.4,22.5,11,SP98,0,0,0,11.5,0.7128,1.364,0.43333333333333335,37.38461538461538
12.8,4.6,22.5,12,SP98,0,0,0,10.5,0.5888,1.126,0.36666666666666664,34.909090909090914
19.0,4.4,22.5,17,SP98,0,0,1,5.5,0.8360000000000001,1.599,0.9666666666666667,19.655172413793103
29.0,4.0,22.5,12,SP98,0,0,0,10.5,1.16,2.219,0.45,64.44444444444444
12.1,5.0,22.5,9,SP98,0,0,0,13.5,0.605,1.157,0.5333333333333333,22.6875
12.3,5.2,22.5,10,SP98,0,0,0,12.5,0.6396000000000001,1.224,0.9166666666666666,13.41818181818182
24.8,4.0,22.5,11,SP98,0,0,0,11.5,0.992,1.898,0.9333333333333333,26.571428571428573
12.9,5.1,22.5,8,SP98,0,1,0,14.5,0.6578999999999999,1.259,0.5666666666666667,22.764705882352942
11.8,4.5,22.5,3,SP98,0,0,0,19.5,0.531,1.016,0.65,18.153846153846153
31.4,4.6,22.5,11,SP98,0,0,0,11.5,1.4443999999999997,2.763,1.0333333333333334,30.387096774193544
19.0,5.1,22.5,4,SP98,0,1,0,18.5,0.9689999999999999,1.854,0.8833333333333333,21.50943396226415
13.0,5.7,22.5,3,SP98,1,1,0,19.5,0.7410000000000001,1.418,0.6333333333333333,20.526315789473685
11.8,4.8,22.5,2,SP98,0,0,0,20.5,0.5664,1.084,0.7,16.857142857142858
13.0,6.2,22.5,4,SP98,0,0,0,18.5,0.806,1.542,0.5333333333333333,24.375
11.8,5.0,22.5,1,SP98,0,0,0,21.5,0.59,1.129,0.7166666666666667,16.46511627906977
27.1,5.0,22.5,8,SP98,0,0,0,14.5,1.355,2.592,1.15,23.56521739130435
5.2,4.6,22.5,8,SP98,0,0,0,14.5,0.23919999999999997,0.458,0.6333333333333333,8.210526315789474
19.0,4.5,22.5,10,E10,0,0,0,12.5,0.855,1.595,0.48333333333333334,39.310344827586206
12.4,4.8,22.5,1,E10,0,0,0,21.5,0.5952,1.111,0.6333333333333333,19.578947368421055
25.2,5.0,22.5,9,E10,0,0,0,13.5,1.26,2.351,0.9166666666666666,27.490909090909092
14.3,4.8,22.5,10,E10,0,0,0,12.5,0.6864,1.281,0.6,23.833333333333336
11.8,4.6,22.5,2,E10,0,0,0,20.5,0.5428000000000001,1.013,0.6666666666666666,17.700000000000003
16.9,4.5,22.5,9,E10,0,0,1,13.5,0.7605,1.419,0.8,21.124999999999996
12.4,4.6,22.5,11,E10,0,0,1,11.5,0.5704,1.064,0.9166666666666666,13.527272727272727
17.4,4.4,22.5,12,E10,0,0,1,10.5,0.7656000000000001,1.429,0.6,29.0
9.2,5.7,22.5,8,E10,0,1,0,14.5,0.5244,0.979,0.55,16.727272727272723
12.3,5.8,22.5,10,E10,0,1,0,12.5,0.7134,1.331,0.9,13.666666666666668
13.0,5.9,22.5,10,E10,0,0,0,12.5,0.767,1.431,0.5333333333333333,24.375
11.8,6.1,22.5,6,E10,0,1,0,16.5,0.7198,1.343,0.26666666666666666,44.25
13.0,5.7,22.5,11,E10,0,1,0,11.5,0.7410000000000001,1.383,0.6166666666666667,21.08108108108108
12.3,5.0,22.5,10,E10,0,0,0,12.5,0.615,1.148,0.7,17.571428571428573
12.3,5.2,22.5,15,E10,0,0,1,7.5,0.6396000000000001,1.193,0.95,12.947368421052634
12.5,4.3,22.5,16,E10,0,0,1,6.5,0.5375,1.003,0.95,13.157894736842106
31.5,4.1,22.5,16,E10,0,0,1,6.5,1.2914999999999999,2.41,0.5,63.0
11.8,4.4,22.5,8,E10,0,0,0,14.5,0.5192000000000001,0.969,0.7,16.857142857142858
24.9,4.5,22.5,14,E10,0,0,0,8.5,1.1205,2.091,0.8833333333333333,28.18867924528302
17.0,3.9,22.5,14,E10,0,0,1,8.5,0.6629999999999999,1.237,0.7666666666666667,22.173913043478258
